Tag,Melkdauer,Gemelk,Mkg,7Tage,Fett%,Eiweiß%,Zellzahl,Leitfähigkeit,Milchfluss,Temperatur,Wiederkau
2023-06-13,358.0,9.8,44.300000000000004,39.5,3.83,3.63,,68.0,1.6,38.7,501.0
2023-06-14,359.0,9.6,42.5,39.9,3.79,3.67,,67.0,1.6,37.800000000000004,475.0
2023-06-15,514.0,10.8,41.4,40.2,3.68,3.64,,69.0,1.3,38.2,560.0
2023-06-16,620.0,18.0,41.800000000000004,40.6,2.72,3.71,35.0,69.0,1.7000000000000002,38.400000000000006,470.0
2023-06-17,522.0,11.5,41.800000000000004,40.9,3.49,3.61,,69.0,1.3,38.400000000000006,524.0
2023-06-18,719.0,17.3,42.2,41.2,2.61,3.64,,70.0,1.4000000000000001,38.7,482.0
2023-06-19,691.0,16.6,42.9,41.7,2.72,3.67,,69.0,1.4000000000000001,38.800000000000004,470.0
2023-06-20,490.0,14.0,43.9,41.9,3.0700000000000003,3.72,,68.0,1.7000000000000002,38.5,514.0
2023-06-21,350.0,10.8,43.800000000000004,42.300000000000004,3.2600000000000002,3.67,34.0,70.0,1.9000000000000001,38.300000000000004,471.0
2023-06-22,374.0,9.9,43.6,42.5,3.46,3.69,,69.0,1.6,37.9,531.0
2023-06-23,566.0,12.200000000000001,44.1,42.7,3.09,3.71,,69.0,1.3,38.0,502.0
2023-06-24,611.0,13.0,43.800000000000004,42.9,3.02,3.71,,70.0,1.3,39.0,521.0
2023-06-25,579.0,12.700000000000001,43.5,43.0,3.04,3.67,23.0,70.0,1.3,39.0,498.0
2023-06-26,688.0,16.1,37.7,42.7,3.22,3.62,110.0,71.0,1.4000000000000001,37.6,499.0
2023-06-27,698.0,11.9,39.1,42.300000000000004,3.33,3.48,2431.0,75.0,1.0,37.800000000000004,442.0
2023-06-28,517.0,11.0,42.1,42.300000000000004,3.15,3.5700000000000003,1371.0,71.0,1.3,38.300000000000004,545.0
2023-06-29,586.0,10.8,41.800000000000004,42.300000000000004,3.43,3.6,1153.0,71.0,1.1,38.400000000000006,433.0
2023-06-30,394.0,9.1,41.9,42.300000000000004,3.69,3.5300000000000002,1665.0,68.0,1.4000000000000001,38.300000000000004,481.0
2023-07-01,617.0,13.5,41.800000000000004,42.300000000000004,3.17,3.62,582.0,72.0,1.3,38.300000000000004,478.0
2023-07-02,623.0,13.200000000000001,40.800000000000004,42.2,3.34,3.61,369.0,71.0,1.3,38.2,362.0
2023-07-03,633.0,12.1,40.7,42.0,3.44,3.5500000000000003,537.0,70.0,1.2000000000000002,38.1,467.0
2023-07-04,680.0,12.8,42.4,41.9,3.47,3.67,98.0,70.0,1.1,37.9,461.0
2023-07-05,616.0,13.0,42.2,41.800000000000004,3.0300000000000002,3.74,313.0,72.0,1.3,37.7,498.0
2023-07-06,446.0,10.6,40.9,41.6,3.63,3.6,2070.0,70.0,1.4000000000000001,37.9,619.0
2023-07-07,595.0,12.5,42.1,41.5,3.3200000000000003,3.66,372.0,68.0,1.3,38.1,518.0
2023-07-08,426.0,11.4,40.4,41.2,2.87,3.5700000000000003,769.0,72.0,1.6,38.800000000000004,523.0
2023-07-09,541.0,12.4,40.2,41.0,3.37,3.45,882.0,68.0,1.4000000000000001,38.300000000000004,578.0
2023-07-10,432.0,10.0,42.0,41.300000000000004,3.42,3.5300000000000002,132.0,71.0,1.4000000000000001,38.300000000000004,481.0
2023-07-11,422.0,9.8,42.2,41.5,3.16,3.47,216.0,73.0,1.4000000000000001,38.6,509.0
2023-07-12,524.0,12.200000000000001,41.2,41.5,3.22,3.52,1025.0,71.0,1.4000000000000001,38.2,535.0
2023-07-13,400.0,9.700000000000001,42.7,41.5,3.46,3.49,,70.0,1.5,37.5,562.0
2023-07-14,711.0,15.4,41.7,41.5,2.81,3.5700000000000003,,75.0,1.3,38.300000000000004,569.0
2023-07-15,641.0,14.3,41.300000000000004,41.5,3.25,3.56,521.0,71.0,1.3,38.2,500.0
2023-07-16,508.0,11.9,40.4,41.5,3.29,3.6,,69.0,1.4000000000000001,38.2,513.0
2023-07-17,420.0,9.5,41.2,41.5,3.52,3.5100000000000002,,69.0,1.4000000000000001,37.7,499.0
2023-07-18,733.0,13.0,38.300000000000004,41.2,3.12,3.5100000000000002,182.0,68.0,1.1,37.1,511.0
2023-07-19,564.0,11.6,39.2,41.0,3.83,3.46,1127.0,69.0,1.2000000000000002,37.4,463.0
2023-07-20,482.0,10.3,42.7,41.1,3.5700000000000003,3.49,117.0,71.0,1.3,38.2,405.0
2023-07-21,676.0,10.700000000000001,42.300000000000004,41.1,3.59,3.5300000000000002,,68.0,1.0,38.0,560.0
2023-07-22,817.0,10.700000000000001,41.300000000000004,41.2,3.0100000000000002,3.52,582.0,67.0,0.8,38.0,545.0
2023-07-23,637.0,10.8,41.2,41.300000000000004,3.49,3.5300000000000002,100.0,67.0,1.0,38.400000000000006,593.0
2023-07-24,754.0,13.700000000000001,39.300000000000004,41.1,2.5500000000000003,3.5500000000000003,171.0,71.0,1.1,37.9,477.0
2023-07-25,694.0,11.8,40.2,40.9,3.0300000000000002,3.5300000000000002,185.0,70.0,1.0,37.9,482.0
2023-07-26,562.0,10.0,40.800000000000004,40.9,3.56,3.5700000000000003,,68.0,1.1,38.0,459.0
2023-07-27,910.0,15.700000000000001,40.5,40.7,2.72,3.65,,72.0,1.0,38.2,503.0
2023-07-28,570.0,12.5,39.9,40.6,3.74,3.54,733.0,70.0,1.3,38.300000000000004,550.0
2023-07-29,454.0,9.9,39.2,40.5,4.45,3.64,2979.0,69.0,1.3,39.0,515.0
2023-07-30,348.0,9.0,39.9,40.4,3.66,3.5500000000000003,1218.0,68.0,1.6,38.900000000000006,416.0
2023-07-31,325.0,8.700000000000001,39.6,40.300000000000004,4.01,3.47,,66.0,1.6,38.6,432.0
2023-08-01,617.0,11.8,37.4,40.300000000000004,3.24,3.46,,69.0,1.2000000000000002,37.4,415.0
2023-08-02,400.0,10.700000000000001,35.5,40.0,3.96,3.37,1657.0,67.0,1.6,38.7,452.0
2023-08-03,379.0,9.0,37.4,39.6,4.13,3.29,,69.0,1.4000000000000001,37.7,587.0
2023-08-04,490.0,10.700000000000001,37.6,39.300000000000004,4.22,3.41,,67.0,1.3,38.300000000000004,505.0
2023-08-05,568.0,10.9,36.6,38.9,4.12,3.4,805.0,69.0,1.2000000000000002,37.300000000000004,547.0
2023-08-06,558.0,11.0,35.0,38.5,3.94,3.47,2515.0,74.0,1.2000000000000002,37.6,555.0
2023-08-07,575.0,10.200000000000001,36.7,38.300000000000004,3.63,3.38,2688.0,72.0,1.1,37.800000000000004,537.0
2023-08-08,483.0,8.6,39.4,38.2,3.46,3.45,302.0,74.0,1.1,37.300000000000004,473.0
2023-08-09,480.0,9.200000000000001,39.4,38.2,3.86,3.59,,73.0,1.2000000000000002,37.4,503.0
2023-08-10,702.0,12.3,40.2,38.1,3.2600000000000002,3.54,,72.0,1.1,38.2,555.0
2023-08-11,818.0,13.3,40.800000000000004,38.2,2.9,3.69,105.0,75.0,1.0,38.6,682.0
2023-08-12,606.0,10.9,35.0,37.9,3.79,3.6,3005.0,73.0,1.1,37.6,612.0
2023-08-13,503.0,12.700000000000001,39.5,37.9,3.11,3.54,2459.0,75.0,1.5,38.2,612.0
2023-08-14,515.0,10.3,40.800000000000004,37.9,3.41,3.49,2849.0,74.0,1.2000000000000002,38.800000000000004,611.0
2023-08-15,726.0,12.200000000000001,39.9,38.1,3.19,3.63,3205.0,78.0,1.0,37.800000000000004,578.0
2023-08-16,653.0,11.8,39.5,38.4,3.25,3.69,2349.0,73.0,1.1,37.9,646.0
2023-08-17,510.0,12.200000000000001,40.6,38.6,3.14,3.8200000000000003,299.0,70.0,1.4000000000000001,37.6,638.0
2023-08-18,522.0,11.4,40.7,38.9,3.36,3.74,,69.0,1.3,38.6,554.0
2023-08-19,533.0,11.5,41.5,39.2,3.25,3.75,51.0,71.0,1.3,38.5,606.0
2023-08-20,625.0,10.6,39.4,39.5,3.29,3.74,542.0,74.0,1.0,38.300000000000004,629.0
2023-08-21,521.0,9.9,39.9,39.800000000000004,3.46,3.73,457.0,70.0,1.1,38.1,648.0
2023-08-22,382.0,8.700000000000001,40.4,39.800000000000004,3.61,3.66,,70.0,1.4000000000000001,38.800000000000004,648.0
2023-08-23,495.0,9.8,38.5,39.800000000000004,3.46,3.66,2894.0,70.0,1.2000000000000002,38.300000000000004,644.0
2023-08-24,446.0,9.200000000000001,39.6,39.7,4.07,3.65,443.0,69.0,1.2000000000000002,38.300000000000004,648.0
2023-08-25,503.0,9.4,39.800000000000004,39.6,3.67,3.66,,67.0,1.1,37.4,663.0
2023-08-26,544.0,9.5,38.9,39.9,3.47,3.65,,70.0,1.1,37.7,607.0
2023-08-27,424.0,9.8,38.9,39.9,3.02,3.7800000000000002,155.0,72.0,1.4000000000000001,38.0,585.0
2023-08-28,658.0,11.0,35.6,39.5,3.8000000000000003,3.62,2734.0,69.0,1.0,37.9,538.0
2023-08-29,719.0,11.1,32.7,39.0,4.7700000000000005,3.61,2618.0,68.0,0.9,37.800000000000004,506.0
2023-08-30,806.0,17.6,29.6,38.300000000000004,3.35,3.5300000000000002,2027.0,72.0,1.3,38.0,349.0
2023-08-31,573.0,11.200000000000001,33.3,37.800000000000004,4.08,3.37,797.0,71.0,1.2000000000000002,37.6,337.0
2023-09-01,669.0,9.700000000000001,33.7,37.300000000000004,3.5,3.52,125.0,74.0,0.9,37.7,376.0
2023-09-02,487.0,11.5,36.1,36.9,3.22,3.66,86.0,70.0,1.4000000000000001,37.2,534.0
2023-09-03,460.0,9.5,36.300000000000004,36.7,3.74,3.7,,70.0,1.2000000000000002,37.9,644.0
2023-09-04,417.0,8.9,36.7,36.4,3.47,3.67,2066.0,75.0,1.3,38.0,654.0
2023-09-05,410.0,8.8,37.0,36.2,3.49,3.73,608.0,71.0,1.3,38.400000000000006,548.0
2023-09-06,363.0,9.700000000000001,37.300000000000004,36.1,3.48,3.7600000000000002,118.0,72.0,1.6,39.2,548.0
2023-09-07,436.0,10.5,39.6,36.1,3.94,3.67,812.0,69.0,1.4000000000000001,38.800000000000004,573.0
2023-09-08,458.0,11.4,40.0,36.1,3.14,3.8200000000000003,189.0,71.0,1.5,39.1,551.0
2023-09-09,387.0,9.1,38.800000000000004,36.1,3.73,3.87,,71.0,1.4000000000000001,39.2,528.0
2023-09-10,387.0,9.8,31.7,35.6,3.7600000000000002,3.93,820.0,72.0,1.5,39.300000000000004,635.0
2023-09-11,490.0,9.5,28.7,35.1,4.25,3.62,3566.0,71.0,1.2000000000000002,39.300000000000004,530.0
2023-09-12,479.0,10.1,36.6,35.4,3.6,3.65,1523.0,71.0,1.3,38.2,606.0
2023-09-13,434.0,9.1,36.0,35.800000000000004,4.32,3.68,470.0,69.0,1.3,37.6,625.0
2023-09-14,477.0,11.6,37.9,36.2,3.41,3.5700000000000003,81.0,70.0,1.5,37.300000000000004,647.0
2023-09-15,498.0,10.9,36.2,36.300000000000004,3.48,3.63,122.0,70.0,1.3,38.800000000000004,575.0
2023-09-16,521.0,9.6,34.9,36.300000000000004,3.38,3.5300000000000002,3386.0,71.0,1.1,37.7,522.0
2023-09-17,523.0,11.700000000000001,36.9,36.300000000000004,3.39,3.5700000000000003,1609.0,69.0,1.3,38.5,671.0
2023-09-18,468.0,11.3,37.7,36.4,3.12,3.64,149.0,69.0,1.5,37.800000000000004,638.0
2023-09-19,539.0,10.0,36.800000000000004,36.4,3.85,3.58,,67.0,1.1,37.6,640.0
2023-09-20,744.0,12.700000000000001,35.800000000000004,36.300000000000004,3.0700000000000003,3.5300000000000002,2959.0,74.0,1.0,38.1,618.0
2023-09-21,522.0,9.200000000000001,34.9,35.9,3.92,3.56,3218.0,69.0,1.1,37.4,508.0
2023-09-22,537.0,9.1,34.7,35.5,3.5700000000000003,3.54,743.0,70.0,1.0,37.4,619.0
2023-09-23,454.0,8.700000000000001,36.2,35.4,3.75,3.64,178.0,68.0,1.2000000000000002,37.7,628.0
2023-09-24,578.0,11.1,35.4,35.6,3.38,3.62,392.0,72.0,1.2000000000000002,37.7,577.0
2023-09-25,523.0,10.6,35.0,36.1,3.52,3.64,996.0,70.0,1.2000000000000002,38.0,590.0
2023-09-26,458.0,8.9,35.9,36.0,3.67,3.61,,69.0,1.2000000000000002,36.9,644.0
2023-09-27,484.0,10.3,35.2,36.0,4.7,3.61,117.0,67.0,1.3,37.9,577.0
2023-09-28,493.0,10.5,35.1,35.800000000000004,3.0500000000000003,3.69,297.0,71.0,1.3,37.300000000000004,628.0
2023-09-29,379.0,8.700000000000001,35.7,35.7,4.28,3.66,,67.0,1.4000000000000001,37.300000000000004,575.0
2023-09-30,400.0,9.4,33.9,35.7,3.87,3.68,235.0,67.0,1.4000000000000001,37.9,567.0
2023-10-01,565.0,11.3,31.5,35.300000000000004,3.85,3.64,,65.0,1.2000000000000002,38.1,380.0
2023-10-02,401.0,7.2,31.2,34.800000000000004,4.32,3.5700000000000003,989.0,69.0,1.1,37.300000000000004,470.0
2023-10-03,454.0,9.3,32.8,34.5,4.26,3.5300000000000002,1945.0,69.0,1.2000000000000002,37.2,534.0
2023-10-04,458.0,9.1,35.6,34.5,3.79,3.48,707.0,69.0,1.2000000000000002,38.0,483.0
2023-10-05,730.0,12.700000000000001,36.0,34.6,3.45,3.58,197.0,68.0,1.0,38.0,503.0
2023-10-06,440.0,9.200000000000001,36.4,34.7,3.83,3.64,,68.0,1.3,37.2,538.0
2023-10-07,743.0,11.6,37.1,34.800000000000004,3.94,3.58,1066.0,69.0,0.9,37.9,487.0
2023-10-08,635.0,13.0,36.6,34.9,3.5100000000000002,3.75,353.0,70.0,1.2000000000000002,37.7,
2023-10-09,453.0,11.700000000000001,35.4,34.9,2.27,3.83,,78.0,1.6,40.5,
